Date, Close/Last, Volume, Open, High, Low
2020-01-10, 161.34,20733950, 162.824, 163.22, 161.18
2020-01-13, 163.28,21637010, 161.76, 163.31, 161.26
2020-01-14, 162.13,23500780, 163.39, 163.6, 161.72
2020-01-15, 163.18,21417870, 162.62, 163.94, 162.57
2020-01-16, 166.17,23865360, 164.35, 166.24, 164.03
2020-01-17, 167.1,34371660, 167.42, 167.4675, 165.43
2020-01-21, 166.5,29517190, 166.68, 168.19, 166.43
2020-01-22, 165.7,24138780, 167.4, 167.49, 165.68
2020-01-23, 166.72,19680770, 166.19, 166.8, 165.27
2020-01-24, 165.04,24918120, 167.51, 167.53, 164.45
2020-01-27, 162.28,32078070, 161.15, 163.375, 160.2
2020-01-28, 165.46,24899940, 163.78, 165.755, 163.073
2020-01-29, 168.04,35127770, 167.84, 168.75, 165.69
2020-01-30, 172.78,51597470, 174.05, 174.05, 170.79
2020-01-31, 170.23,36142690, 172.21, 172.4, 169.58
2020-02-03, 174.38,30149050, 170.43, 174.5, 170.4
2020-02-04, 180.12,36433340, 177.14, 180.64, 176.31
2020-02-05, 179.9,39186320, 184.03, 184.2, 178.4101
2020-02-06, 183.63,27751380, 180.97, 183.8199, 180.059
2020-02-07, 183.89,33529070, 182.845, 185.63, 182.48
2020-02-10, 188.7,35844270, 183.58, 188.84, 183.25
2020-02-11, 184.44,53159910, 190.65, 190.7, 183.5
2020-02-12, 184.71,47062920, 185.58, 185.85, 181.85
2020-02-13, 183.71,35295830, 183.08, 186.23, 182.872
2020-02-14, 185.35,23149520, 183.25, 185.41, 182.65
2020-02-18, 187.23,27853110, 185.605, 187.7, 185.5
2020-02-19, 187.28,29997470, 188.06, 188.18, 186.47
2020-02-20, 184.42,36862380, 186.95, 187.25, 181.1
2020-02-21, 178.59,48600390, 183.17, 183.5, 177.25
2020-02-24, 170.89,68311070, 167.77, 174.55, 163.23
2020-02-25, 168.07,68073300, 174.2, 174.84, 167.6462
2020-02-26, 170.17,56387150, 169.71, 173.26, 168.21
2020-02-27, 158.18,93174910, 163.32, 167.03, 157.98
2020-02-28, 162.01,97073560, 152.41, 163.71, 152
2020-03-02, 172.79,71030810, 165.31, 172.92, 162.31
2020-03-03, 164.51,71677020, 173.8, 175, 162.26
2020-03-04, 170.55,49814380, 168.485, 170.7, 165.62
2020-03-05, 166.27,47817250, 166.045, 170.87, 165.69
